mode,N,seed,Shat,time_ms
wide,3100,4077814126135,1.069434955049954,0.073807000000000
wide,3100,4077814126136,0.925171002169315,0.091523000000000
wide,3100,4077814126137,0.893809273282219,0.073577000000000
wide,3100,4077814126138,0.906353964837058,0.073126000000000
wide,3100,4077814126139,0.953396558167701,0.074352000000000
wide,3100,4077814126140,0.928307175058024,0.074541000000000
wide,3100,4077814126141,0.900081619059638,0.073158000000000
wide,3100,4077814126142,0.987894459943506,0.078051000000000
wide,3100,4077814126143,1.038073226162858,0.073776000000000
wide,3100,4077814126144,0.915762483503186,0.072445000000000
wide,3100,4077814126145,0.890673100393510,0.071754000000000
wide,3100,4077814126146,0.896945446170929,0.073681000000000
wide,3100,4077814126147,0.915762483503186,0.072100000000000
wide,3100,4077814126148,0.965941249722539,0.091439000000000
wide,3100,4077814126149,0.925171002169315,0.073211000000000
wide,3100,4077814126150,0.962805076833829,0.073253000000000
wide,3100,4077814126151,0.906353964837058,0.073075000000000
wide,3100,4077814126152,0.978485941277377,0.071901000000000
wide,3100,4077814126153,0.940851866612862,0.074059000000000
wide,3100,4077814126154,0.984758287054796,0.073221000000000
wide,3600,4735526081625,0.966812408858292,0.088401000000000
wide,3600,4735526081626,1.012722495312456,0.082000000000000
wide,3600,4735526081627,0.964111815537458,0.076469000000000
wide,3600,4735526081628,0.980315375462458,0.077034000000000
wide,3600,4735526081629,0.853387489383296,0.075872000000000
wide,3600,4735526081630,0.977614782141624,0.076532000000000
wide,3600,4735526081631,0.942507068970793,0.076133000000000
wide,3600,4735526081632,0.893896389195795,0.076992000000000
wide,3600,4735526081633,0.985716562104124,0.088799000000000
wide,3600,4735526081634,0.983015968783291,0.076783000000000
wide,3600,4735526081635,0.934405289008293,0.099926000000000
wide,3600,4735526081636,0.942507068970793,0.077160000000000
wide,3600,4735526081637,0.915501135762460,0.075746000000000
wide,3600,4735526081638,1.015423088633290,0.080146000000000
wide,3600,4735526081639,0.977614782141624,0.074928000000000
wide,3600,4735526081640,0.923602915724960,0.071397000000000
wide,3600,4735526081641,0.918201729083294,0.071450000000000
wide,3600,4735526081642,0.964111815537458,0.071660000000000
wide,3600,4735526081643,0.907399355799961,0.069994000000000
wide,3600,4735526081644,0.847986302741630,0.071471000000000
wide,3600,4735526081645,0.912800542441627,0.071911000000000
wide,3600,4735526081646,0.966812408858292,0.071744000000000
wide,3600,4735526081647,0.937105882329126,0.076982000000000
wide,3600,4735526081648,1.001920122029123,0.071241000000000
wide,3600,4735526081649,0.915501135762460,0.078512000000000
wide,3600,4735526081650,1.031626648558289,0.076102000000000
wide,3600,4735526081651,0.923602915724960,0.072331000000000
wide,3600,4735526081652,0.923602915724960,0.075526000000000
wide,3600,4735526081653,1.004620715349956,0.077988000000000
wide,3600,4735526081654,0.980315375462458,0.128747000000000
wide,4100,5393238037125,1.040979922986540,0.085908000000000
wide,4100,5393238037126,0.981698606187763,0.083351000000000
wide,4100,5393238037127,0.984069858859714,0.082650000000000
